Release,Date,Position,Company,Commit_Count
2.6.12,2005-06-17,1,Redhat,284
2.6.12,2005-06-17,2,IBM,194
2.6.12,2005-06-17,3,Novell,169
2.6.12,2005-06-17,3,Hobbyists,169
2.6.12,2005-06-17,5,Unknown,134
2.6.12,2005-06-17,6,Intel,122
2.6.12,2005-06-17,7,Consultants,99
2.6.12,2005-06-17,8,SGI,77
2.6.12,2005-06-17,9,Linux Foundation,67
2.6.12,2005-06-17,10,Movial,36
2.6.12,2005-06-17,11,CISCO,29
2.6.12,2005-06-17,11,Broadcom,29
2.6.12,2005-06-17,13,SteelEye,26
2.6.12,2005-06-17,13,HP,26
2.6.12,2005-06-17,15,MontaVista,24
2.6.12,2005-06-17,16,Fujitsu,20
2.6.12,2005-06-17,17,Freescale,17
2.6.12,2005-06-17,18,Coraid,16
2.6.12,2005-06-17,19,Astaro,14
2.6.12,2005-06-17,20,Oracle,13
2.6.12,2005-06-17,20,Symantec,13
2.6.12,2005-06-17,22,Mellanox Technologies,9
2.6.12,2005-06-17,22,QLogic,9
2.6.12,2005-06-17,22,Academics,9
2.6.12,2005-06-17,25,Telargo,8
2.6.12,2005-06-17,26,Tripeaks,6
2.6.12,2005-06-17,26,Selenic Consulting,6
2.6.12,2005-06-17,26,Parallels,6
2.6.12,2005-06-17,29,Marvell,5
2.6.12,2005-06-17,29,Pengutronix,5
2.6.12,2005-06-17,31,Stream Processors,4
2.6.12,2005-06-17,31,USAGI,4
2.6.12,2005-06-17,31,Applied Micro,4
2.6.12,2005-06-17,31,MEV Limited,4
2.6.12,2005-06-17,31,Soma Networks,4
2.6.12,2005-06-17,36,Mandriva,3
2.6.12,2005-06-17,36,Voltaire,3
2.6.12,2005-06-17,36,U.S. Naval Research Laboratory,3
2.6.12,2005-06-17,36,SIMTEC,3
2.6.12,2005-06-17,36,ARM,3
2.6.12,2005-06-17,41,Renesas Electronics,2
2.6.12,2005-06-17,41,US National Security Agency,2
2.6.12,2005-06-17,41,Candela Tech.,2
2.6.12,2005-06-17,41,PiKRON s.r.o,2
2.6.12,2005-06-17,41,NameSys,2
2.6.12,2005-06-17,41,SYSGO,2
2.6.12,2005-06-17,41,Embedded Alley Solutions,2
2.6.12,2005-06-17,41,NetApp,2
2.6.12,2005-06-17,49,VA LINUX,1
2.6.12,2005-06-17,49,VMWare,1
2.6.12,2005-06-17,49,Rowland Institute  Harvard,1
2.6.12,2005-06-17,49,Stratus Technologies,1
2.6.12,2005-06-17,49,DiBcom,1
2.6.12,2005-06-17,49,Toshiba,1
2.6.12,2005-06-17,49,Avocent,1
2.6.12,2005-06-17,49,6WIND,1
2.6.12,2005-06-17,49,Akamai,1
2.6.12,2005-06-17,49,Artec Design,1
2.6.12,2005-06-17,49,General Electric,1
2.6.12,2005-06-17,49,rPath,1
2.6.12,2005-06-17,49,Concurrent Computer Corporation,1
2.6.12,2005-06-17,49,Science Fiction Technologies,1
2.6.12,2005-06-17,49,Anevia,1
2.6.12,2005-06-17,49,German Government,1
2.6.12,2005-06-17,49,EMC,1
2.6.12,2005-06-17,49,SONY,1
2.6.12,2005-06-17,49,Timesys,1
2.6.12,2005-06-17,49,DELL,1
2.6.12,2005-06-17,49,Calsoft,1
2.6.12,2005-06-17,49,NVIDIA,1
2.6.12,2005-06-17,49,AXIS,1
2.6.12,2005-06-17,49,Google,1
2.6.12,2005-06-17,49,Wacom,1
2.6.12,2005-06-17,49,LIOS Technology,1
2.6.12,2005-06-17,49,Analog Devices,1
2.6.12,2005-06-17,49,Tungsten Graphics,1
2.6.12,2005-06-17,49,Imagination Technologies,1
2.6.12,2005-06-17,49,Shadow Connect,1
2.6.12,2005-06-17,49,CodeSourcery,1
2.6.12,2005-06-17,49,NEC,1
2.6.13,2005-08-28,1,Hobbyists,565
2.6.13,2005-08-28,2,Novell,529
2.6.13,2005-08-28,3,Redhat,416
2.6.13,2005-08-28,4,IBM,363
2.6.13,2005-08-28,5,Unknown,331
2.6.13,2005-08-28,6,Intel,186
2.6.13,2005-08-28,7,Linux Foundation,180
2.6.13,2005-08-28,8,Consultants,134
2.6.13,2005-08-28,9,Movial,83
2.6.13,2005-08-28,9,SGI,83
2.6.13,2005-08-28,11,Academics,71
2.6.13,2005-08-28,12,XMission,56
2.6.13,2005-08-28,13,MontaVista,52
2.6.13,2005-08-28,14,Tuxera,45
2.6.13,2005-08-28,15,HP,39
2.6.13,2005-08-28,16,Linutronix,37
2.6.13,2005-08-28,16,Astaro,37
2.6.13,2005-08-28,18,Freescale,35
2.6.13,2005-08-28,19,Parallels,33
2.6.13,2005-08-28,19,NetApp,33
2.6.13,2005-08-28,21,Voltaire,32
2.6.13,2005-08-28,22,SIMTEC,31
2.6.13,2005-08-28,23,Rowland Institute  Harvard,30
2.6.13,2005-08-28,24,SteelEye,26
2.6.13,2005-08-28,25,QLogic,23
2.6.13,2005-08-28,26,Telargo,21
2.6.13,2005-08-28,27,Cisco,20
2.6.13,2005-08-28,28,Embedded Alley Solutions,19
2.6.13,2005-08-28,28,Marvell,19
2.6.13,2005-08-28,28,Oracle,19
2.6.13,2005-08-28,31,AXIS,17
2.6.13,2005-08-28,32,Symantec,16
2.6.13,2005-08-28,32,Atomide,16
2.6.13,2005-08-28,34,LSI,15
2.6.13,2005-08-28,34,CISCO,15
